Product_ID,Category,Brand,Season,Product_Name,Original_Price,Competitor_Price,Seasonality_Factor,Markdown_1,Markdown_2,Markdown_3,Markdown_4,Historical_Sales,Sales_After_M1,Sales_After_M2,Sales_After_M3,Sales_After_M4,Stock_Level,Promotion_Type,Customer Ratings,Return Rate,Optimal Discount
36,Skincare,BrandA,Summer,Acne Treatment Gel,79.11,80.61,1.56,0.34,0.34,0.27,0.43,228,316,375,442,629,166,In-Store,4.7,1.82,0.34
37,Bodycare,BrandC,Spring,Stretch Mark Cream,24.91,25.07,0.95,0.29,0.37,0.19,0.47,114,129,151,164,157,147,In-Store,4,3.62,0.33
38,Skincare,BrandD,Rainy,Anti-Aging Cream,59.74,62.1,1.12,0.34,0.28,0.1,0.4,221,242,256,258,253,90,Social Media,4.6,1.44,0.28
39,Bodycare,BrandB,Summer,Body Butter,43.57,44.36,1.77,0.34,0.34,0.25,0.34,214,278,325,378,446,184,In-Store,4.9,1.51,0.32
40,Skincare,BrandA,Summer,Makeup Remover,33.96,33.37,1.79,0.36,0.4,0.22,0.44,132,179,244,299,428,172,Social Media,4.6,1.17,0.36
41,Skincare,BrandC,Spring,Anti-Aging Cream,15.54,18.04,1.15,0.38,0.46,0.15,0.4,205,223,269,287,268,58,Social Media,4.9,1.19,0.35
42,Skincare,BrandC,Rainy,Facial Essence,90.84,92.08,0.96,0.28,0.45,0.13,0.38,107,122,133,138,141,199,In-Store,3.5,3.9,0.31
43,Skincare,BrandE,Winter,Acne Treatment Gel,26.29,28.2,1.61,0.2,0.34,0.12,0.37,134,165,210,238,295,90,Online,5,1.81,0.26
44,Makeup,BrandD,Summer,Foundation,32.86,35.19,1.18,0.32,0.2,0.19,0.32,168,210,238,278,329,131,Online,4.9,1.13,0.26
45,Makeup,BrandA,Winter,Highlighter,78.57,79.59,1.67,0.31,0.41,0.17,0.36,174,220,324,388,505,138,Social Media,4.6,1.6,0.31
46,Skincare,BrandE,Winter,Acne Treatment Gel,63.97,64.48,1.94,0.2,0.21,0.18,0.34,113,138,160,177,226,184,Online,4.9,1.93,0.23
47,Makeup,BrandA,Spring,CC Cream,79.38,80.73,1.7,0.28,0.42,0.29,0.42,304,381,571,709,891,184,Online,4.7,1.89,0.35
48,Skincare,BrandA,Spring,Night Cream,99.17,100.05,0.55,0.28,0.39,0.26,0.44,31,32,32,33,33,175,Social Media,2.2,4.78,0.34
49,Skincare,BrandD,Rainy,Peeling Gel,34.96,34.11,0.84,0.31,0.4,0.24,0.31,67,75,77,86,90,89,In-Store,2.4,4.72,0.32
50,Skincare,BrandD,Winter,Hydrating Serum,58.97,61.91,1.72,0.16,0.25,0.25,0.33,341,384,446,533,632,136,Online,4.7,1.58,0.25
51,Makeup,BrandE,Rainy,CC Cream,44.47,45.97,1.1,0.18,0.46,0.28,0.45,55,55,56,61,64,98,Social Media,2.9,5.37,0.34
52,Skincare,BrandD,Winter,Face Toner,25.38,26.13,1.88,0.13,0.5,0.29,0.42,325,362,551,634,792,112,In-Store,4.7,1.68,0.34
53,Skincare,BrandE,Rainy,Hydrating Serum,6.36,7.31,1.28,0.17,0.23,0.27,0.44,197,195,213,211,226,178,Social Media,4.8,1.85,0.28
54,Bodycare,BrandE,Rainy,Exfoliating Gloves,8.19,10.3,0.89,0.13,0.49,0.12,0.43,171,192,282,307,441,108,Social Media,4.7,1.53,0.29
55,Skincare,BrandB,Summer,Hydrating Serum,32.83,33.26,1.74,0.38,0.33,0.11,0.35,237,302,407,446,600,68,In-Store,4.8,1.49,0.29
56,Skincare,BrandC,Rainy,Acne Treatment Gel,18.57,17.68,0.67,0.11,0.38,0.15,0.44,73,75,86,86,104,52,Social Media,3.9,3.79,0.27
57,Bodycare,BrandD,Winter,Shower Gel,19.69,18.91,1.82,0.22,0.47,0.2,0.45,342,422,592,704,960,156,Social Media,4.9,1.27,0.34
58,Skincare,BrandE,Summer,Face Mist,65.54,65.69,1.84,0.33,0.33,0.1,0.39,206,272,320,350,478,72,In-Store,4.9,1.47,0.29
59,Skincare,BrandF,Rainy,Night Cream,76.43,76.41,0.55,0.3,0.43,0.2,0.43,105,108,117,117,123,87,Social Media,4.5,3.76,0.34
60,Skincare,BrandE,Rainy,Anti-Aging Cream,82.84,85.77,0.57,0.33,0.38,0.17,0.33,114,111,115,119,134,93,In-Store,3.9,2.84,0.3
61,Bodycare,BrandB,Winter,Body Oil,86.19,85.73,1.92,0.2,0.36,0.29,0.33,253,299,363,441,570,123,Online,4.7,1.4,0.3
62,Makeup,BrandD,Winter,CC Cream,97.02,97.5,1.59,0.11,0.48,0.17,0.41,242,259,361,414,552,91,In-Store,4.6,1.28,0.29
63,Skincare,BrandE,Spring,Peeling Gel,61.09,61.96,0.63,0.13,0.3,0.18,0.4,79,83,84,89,83,55,Online,2.2,5.75,0.25
64,Bodycare,BrandE,Winter,Body Oil,61.8,64.76,1.95,0.4,0.47,0.11,0.44,191,281,424,469,641,175,In-Store,4.6,1.34,0.36
65,Skincare,BrandD,Winter,Facial Essence,92.39,91.63,1.58,0.21,0.28,0.1,0.33,226,260,310,336,460,87,Social Media,5,1.78,0.23
66,Bodycare,BrandC,Summer,Exfoliating Gloves,68.36,69.3,1.57,0.33,0.26,0.15,0.46,270,341,432,503,645,84,Social Media,4.6,1.3,0.3
67,Skincare,BrandE,Summer,Anti-Aging Cream,23.68,24.02,1.83,0.3,0.29,0.18,0.49,154,203,239,272,424,192,Online,4.6,1.21,0.32
68,Skincare,BrandD,Rainy,Face Toner,60.45,62.33,1.12,0.11,0.42,0.21,0.31,139,137,151,166,167,132,Social Media,4.5,2.76,0.26
69,Bodycare,BrandC,Winter,Exfoliating Gloves,79.62,82.25,1.96,0.19,0.31,0.19,0.46,298,334,412,488,639,125,In-Store,4.5,1.56,0.29
70,Makeup,BrandD,Spring,Highlighter,56.94,56.54,1.87,0.28,0.3,0.11,0.34,249,294,356,398,466,69,Social Media,4.9,1.97,0.26
71,Skincare,BrandF,Rainy,Face Mist,61.5,62.93,0.57,0.2,0.35,0.14,0.34,38,40,40,39,44,62,Online,2.2,5.72,0.26
72,Makeup,BrandF,Summer,Highlighter,72.12,72.48,0.92,0.19,0.46,0.26,0.49,100,110,162,206,281,72,In-Store,4.9,1.76,0.35
73,Makeup,BrandD,Winter,Lip Gloss,5.65,7.34,1.66,0.34,0.41,0.13,0.39,267,320,397,431,604,162,Social Media,4.5,1.64,0.32
74,Makeup,BrandF,Rainy,Lip Liner,82.27,81.88,1.24,0.15,0.44,0.2,0.42,100,101,117,115,129,75,Online,3.3,3.02,0.3
75,Skincare,BrandE,Rainy,Facial Cleanser,85.31,87.05,0.83,0.29,0.39,0.16,0.37,73,70,69,72,69,157,Social Media,2.4,5.17,0.3
76,Skincare,BrandC,Summer,Acne Treatment Gel,30.61,32.6,1.95,0.1,0.4,0.27,0.31,117,130,172,206,238,83,In-Store,5,1.44,0.27
77,Skincare,BrandC,Summer,Eye Cream,40.68,42.77,1.67,0.27,0.42,0.16,0.49,165,191,234,277,425,146,Social Media,4.9,1.75,0.34
78,Makeup,BrandE,Winter,Concealer,56.36,55.51,1.8,0.2,0.42,0.16,0.37,367,411,548,653,860,185,Social Media,5,1.94,0.29
79,Bodycare,BrandA,Winter,Body Cream,82.07,83.33,2,0.24,0.36,0.28,0.36,388,440,617,799,984,90,In-Store,4.7,1.72,0.31
80,Skincare,BrandA,Winter,Face Oil,58.92,61.68,1.52,0.18,0.4,0.13,0.48,242,285,407,456,575,77,Online,4.7,1.77,0.3
81,Skincare,BrandE,Spring,Facial Essence,14.74,15.16,0.88,0.2,0.49,0.23,0.37,54,59,62,61,67,61,Online,2.9,4.84,0.32
82,Bodycare,BrandF,Summer,Body Wash,67.97,69.44,1.64,0.1,0.42,0.21,0.36,90,98,145,163,225,99,In-Store,4.9,1.25,0.27
83,Makeup,BrandB,Rainy,Makeup Primer,76.47,79.4,1.04,0.21,0.22,0.16,0.33,154,153,166,178,202,72,Social Media,4.7,1.75,0.23
84,Bodycare,BrandD,Spring,Exfoliating Gloves,76.61,76.76,1.17,0.16,0.29,0.21,0.48,144,154,175,190,226,156,Social Media,4.6,1.04,0.28
85,Makeup,BrandF,Rainy,Lip Gloss,68.18,67.72,1.14,0.24,0.25,0.18,0.49,79,80,90,92,83,115,Online,2.3,4.74,0.29
86,Makeup,BrandB,Winter,Mascara,45.2,44.56,1.75,0.24,0.48,0.2,0.49,203,250,360,403,586,73,Social Media,4.5,1.91,0.35
87,Makeup,BrandD,Summer,BB Cream,45.75,48.44,1.25,0.11,0.3,0.22,0.32,139,156,190,234,289,69,In-Store,4.9,1.7,0.24
88,Bodycare,BrandE,Summer,Body Cream,13.53,15.72,1.53,0.3,0.32,0.18,0.45,289,367,426,498,725,167,Social Media,5,1.05,0.31
89,Skincare,BrandC,Spring,Pore Minimizer,84.09,84.71,1.19,0.17,0.37,0.15,0.49,152,148,151,152,162,61,Social Media,4.3,2.5,0.3
90,Makeup,BrandF,Spring,Bronzer,81.25,80.39,1.51,0.27,0.27,0.22,0.45,294,338,436,520,720,140,In-Store,4.6,1.32,0.3
91,Bodycare,BrandF,Rainy,Body Wash,98.47,97.54,0.51,0.34,0.21,0.16,0.32,71,84,103,119,152,50,Online,3.2,3.22,0.26
92,Bodycare,BrandF,Rainy,Foot Cream,34.38,34.52,0.87,0.34,0.26,0.21,0.45,76,106,132,160,203,151,Social Media,4.6,1.54,0.32
93,Skincare,BrandB,Summer,Vitamin C Serum,70.33,71.23,1.79,0.16,0.24,0.24,0.33,277,319,383,483,573,55,In-Store,4.6,1.98,0.24
94,Makeup,BrandC,Winter,Foundation,59.17,58.88,1.7,0.12,0.39,0.27,0.38,301,338,442,534,751,191,In-Store,4.6,1.28,0.29
95,Makeup,BrandB,Spring,Concealer,61.1,62.31,1.99,0.1,0.27,0.28,0.35,257,270,332,408,483,172,Social Media,5,1.57,0.25
96,Skincare,BrandD,Winter,Eye Cream,24.19,24.29,1.63,0.16,0.21,0.26,0.33,101,114,135,171,227,125,Online,4.9,1.17,0.24
97,Makeup,BrandF,Winter,Contour Kit,89.17,90.23,1.6,0.19,0.27,0.17,0.49,93,105,126,147,188,78,Online,4.8,1.12,0.28
98,Skincare,BrandE,Spring,Brightening Cream,76.62,77.93,1.18,0.14,0.27,0.22,0.5,66,69,77,80,96,192,Online,2.5,4.18,0.28
99,Makeup,BrandA,Rainy,BB Cream,82.14,82.59,1.07,0.11,0.45,0.25,0.39,218,227,252,250,258,73,In-Store,4.5,1.86,0.3
100,Skincare,BrandE,Rainy,Peeling Gel,91.67,92.28,0.77,0.15,0.47,0.29,0.32,143,153,181,191,183,70,In-Store,4.5,1.97,0.31
101,Skincare,BrandD,Winter,Sunscreen,72.41,75.35,1.97,0.2,0.42,0.3,0.46,209,250,341,394,609,173,Online,5,1.04,0.34
102,Skincare,BrandC,Rainy,Hydrating Mask,63.82,66.64,0.75,0.32,0.45,0.23,0.36,62,70,82,86,92,161,In-Store,2.4,4.84,0.34
103,Makeup,BrandF,Spring,Blush,23.88,26.71,1.8,0.2,0.42,0.19,0.34,101,117,148,181,252,105,In-Store,4.8,1.66,0.29
104,Makeup,BrandE,Rainy,Lipstick,87.27,88.46,0.6,0.16,0.45,0.28,0.37,80,78,91,94,92,70,Social Media,2.6,4.04,0.32
105,Skincare,BrandD,Winter,Exfoliating Scrub,40.68,42.19,1.85,0.31,0.26,0.22,0.32,350,460,568,688,863,166,Social Media,4.6,1.32,0.28
106,Bodycare,BrandA,Winter,Body Wash,6.96,6.53,1.84,0.17,0.47,0.2,0.48,110,123,188,209,313,159,In-Store,4.6,1.88,0.33
107,Skincare,BrandB,Winter,Anti-Aging Cream,16.81,17.99,1.68,0.2,0.28,0.16,0.42,338,414,531,599,848,158,In-Store,4.7,1.39,0.26
108,Makeup,BrandD,Summer,Contour Kit,55.63,54.83,1.19,0.37,0.47,0.27,0.47,69,83,124,141,195,66,Online,4.8,1.65,0.39
109,Bodycare,BrandC,Spring,Body Lotion,93.03,93.71,0.8,0.22,0.34,0.23,0.42,129,134,128,141,147,120,In-Store,3.6,3.14,0.3
110,Bodycare,BrandE,Rainy,Hand Cream,81.36,82.68,0.78,0.11,0.28,0.19,0.32,42,46,53,64,88,73,Social Media,2.2,4.4,0.23
111,Bodycare,BrandC,Winter,Body Cream,18.03,19.52,1.88,0.25,0.23,0.2,0.39,243,281,347,402,503,178,Social Media,4.7,1.91,0.27
112,Skincare,BrandA,Rainy,Acne Treatment Gel,24.79,24.04,0.98,0.3,0.46,0.28,0.41,120,137,139,152,152,152,Social Media,3.3,2.08,0.36
113,Bodycare,BrandD,Rainy,Foot Scrub,77.08,78.38,0.65,0.13,0.5,0.1,0.38,118,129,172,187,230,190,In-Store,5,1.5,0.28
114,Bodycare,BrandB,Spring,Stretch Mark Cream,54.85,55.56,1.19,0.24,0.48,0.19,0.4,80,80,99,98,117,91,In-Store,3.6,2.75,0.33
115,Skincare,BrandF,Winter,Brightening Cream,23.08,24.39,1.95,0.26,0.29,0.27,0.35,254,314,409,505,620,140,Social Media,4.7,1.09,0.29
116,Skincare,BrandD,Summer,Hydrating Serum,87.26,87.55,1.67,0.31,0.23,0.18,0.42,292,365,431,524,687,84,In-Store,4.7,1.99,0.28
117,Bodycare,BrandE,Winter,Stretch Mark Cream,77.5,79.61,1.98,0.31,0.25,0.14,0.33,168,195,227,258,340,96,Online,4.9,1.86,0.26
118,Skincare,BrandE,Winter,Hydrating Serum,79.49,78.51,1.53,0.27,0.44,0.2,0.39,271,343,473,579,695,136,Social Media,4.7,1.54,0.32
119,Skincare,BrandF,Summer,Vitamin C Serum,22.82,23.22,1.57,0.22,0.48,0.2,0.47,185,218,310,362,542,200,Online,4.8,1.94,0.34
120,Makeup,BrandF,Summer,Makeup Primer,71.82,72.9,1.04,0.39,0.36,0.13,0.38,161,218,276,297,427,134,Online,4.8,1.82,0.32
121,Makeup,BrandA,Summer,Setting Powder,34.24,34.47,0.82,0.37,0.42,0.29,0.47,66,86,105,135,200,134,Online,4.6,1.4,0.39
122,Bodycare,BrandF,Rainy,Body Mist,6.59,7.6,1.07,0.16,0.31,0.11,0.31,102,118,152,163,198,106,Online,4.6,1.26,0.22
123,Skincare,BrandA,Summer,Exfoliating Scrub,68.29,69.36,1.78,0.11,0.37,0.26,0.35,265,290,370,475,663,185,Social Media,4.5,1.17,0.27
124,Makeup,BrandE,Spring,Eyeshadow Palette,68.66,70.36,1.61,0.14,0.24,0.29,0.33,217,249,284,352,412,96,In-Store,4.6,1.98,0.25
125,Makeup,BrandC,Spring,Concealer,39.18,39.43,1.6,0.36,0.41,0.16,0.36,288,402,538,635,810,162,In-Store,4.7,1.1,0.32
126,Skincare,BrandA,Spring,Facial Essence,34.09,34.05,1.09,0.15,0.25,0.28,0.41,93,100,110,117,123,53,Social Media,4.4,3.46,0.27
127,Skincare,BrandA,Rainy,Face Mist,36.97,36.29,0.5,0.1,0.42,0.28,0.37,42,44,51,54,60,53,Online,3,5.54,0.29
128,Skincare,BrandB,Spring,Face Mist,71.19,74.12,0.55,0.18,0.32,0.21,0.33,58,58,67,73,77,128,In-Store,2.5,5.1,0.26
129,Skincare,BrandA,Rainy,Hydrating Serum,56.77,56.69,0.65,0.14,0.39,0.12,0.31,109,114,130,136,146,107,In-Store,4.4,2.52,0.24
130,Makeup,BrandE,Rainy,Lip Gloss,93.48,95.57,0.94,0.36,0.2,0.15,0.39,81,77,84,86,100,200,Social Media,3,2.13,0.28
131,Skincare,BrandB,Spring,Facial Essence,83.99,83.46,0.8,0.34,0.37,0.23,0.34,72,81,87,89,95,92,Online,2.6,5.95,0.32
132,Skincare,BrandA,Spring,Face Serum,52.71,55.01,0.5,0.39,0.35,0.29,0.35,32,37,41,45,47,57,In-Store,2.3,4.09,0.34
133,Makeup,BrandB,Winter,Liquid Eyeliner,17.48,16.92,1.58,0.21,0.46,0.22,0.33,142,175,246,310,379,140,Online,5,1.01,0.3
134,Skincare,BrandB,Spring,Makeup Remover,17.35,19.64,0.83,0.28,0.4,0.28,0.49,81,84,84,87,107,117,Online,3.5,2.36,0.36
135,Skincare,BrandC,Spring,Anti-Aging Cream,61.41,63.62,0.6,0.16,0.34,0.13,0.32,64,65,71,72,72,170,Social Media,2.6,5.54,0.24
136,Bodycare,BrandD,Rainy,Anti-Cellulite Cream,36.53,38.42,0.64,0.2,0.28,0.22,0.33,96,107,130,145,178,167,In-Store,3.5,3.07,0.26
137,Bodycare,BrandC,Summer,Foot Cream,27.21,29.92,1.84,0.2,0.44,0.18,0.47,138,167,219,254,320,112,In-Store,4.6,1.16,0.32
138,Skincare,BrandA,Rainy,Facial Cleanser,10.09,10.5,0.62,0.22,0.36,0.18,0.34,99,96,104,107,102,100,In-Store,3,2.9,0.28
139,Bodycare,BrandE,Spring,Bath Salts,35.8,36.87,0.6,0.22,0.43,0.21,0.45,78,75,87,92,87,151,Social Media,2.9,4.08,0.33
140,Skincare,BrandF,Summer,Night Cream,6.03,8.84,1.87,0.21,0.25,0.12,0.45,262,305,351,378,576,70,In-Store,5,1.32,0.26
141,Makeup,BrandC,Summer,Contour Kit,91.05,90.22,0.91,0.21,0.37,0.26,0.42,120,143,198,250,345,70,Online,4.8,1.12,0.32
142,Bodycare,BrandD,Winter,Shower Gel,28.35,28,1.84,0.27,0.23,0.2,0.42,175,209,239,278,345,148,In-Store,4.9,1.72,0.28
143,Skincare,BrandB,Winter,Pore Minimizer,73.54,74.51,1.52,0.19,0.44,0.28,0.44,111,125,163,207,310,55,Online,5,1.88,0.34
144,Makeup,BrandE,Spring,Mascara,88.45,91.34,1.68,0.28,0.21,0.14,0.45,181,210,243,263,330,60,Social Media,5,1.51,0.27
145,Skincare,BrandC,Spring,Face Oil,71.7,70.82,1.27,0.32,0.25,0.17,0.49,140,138,147,142,142,93,Social Media,3.5,2.13,0.31
146,Makeup,BrandD,Summer,Bronzer,66.13,65.49,0.53,0.21,0.29,0.11,0.33,107,133,171,188,237,140,In-Store,4.7,1.02,0.24
147,Makeup,BrandF,Summer,Bronzer,74.52,76.02,0.76,0.26,0.44,0.27,0.4,141,169,222,276,362,154,Social Media,4.7,1.23,0.34
148,Skincare,BrandB,Spring,Peeling Gel,26.56,26.86,0.84,0.35,0.26,0.15,0.39,69,75,73,72,74,154,In-Store,3,4.32,0.29
149,Bodycare,BrandA,Summer,Body Powder,43.38,43.88,1.95,0.27,0.39,0.27,0.49,236,289,352,432,568,106,In-Store,4.8,1.88,0.36
150,Bodycare,BrandD,Winter,Body Powder,49.39,48.39,1.57,0.1,0.28,0.27,0.5,245,266,345,449,616,126,Social Media,4.9,1.15,0.29
151,Skincare,BrandF,Summer,Face Serum,58.17,61.11,1.78,0.19,0.29,0.13,0.45,347,423,536,616,834,109,Online,5,1.89,0.26
152,Makeup,BrandA,Summer,Setting Spray,12.08,13.58,0.57,0.18,0.3,0.22,0.36,90,102,138,154,209,194,In-Store,4.7,1.34,0.26
153,Bodycare,BrandC,Winter,Anti-Cellulite Cream,94.96,95.67,1.92,0.17,0.27,0.15,0.39,365,412,497,536,690,137,Social Media,4.8,1.83,0.25
154,Makeup,BrandB,Winter,Matte Lipstick,96.74,97.77,1.73,0.12,0.32,0.2,0.47,337,362,498,583,843,101,Online,4.5,1.51,0.28
155,Skincare,BrandC,Winter,Peeling Gel,21.17,22.82,1.98,0.11,0.22,0.11,0.34,160,174,199,225,282,101,In-Store,4.6,1.15,0.2
156,Bodycare,BrandC,Winter,Shower Gel,34.61,36.42,1.81,0.29,0.35,0.22,0.34,190,243,304,373,489,70,In-Store,4.6,1.02,0.3
157,Makeup,BrandA,Summer,Contour Kit,74.18,75.26,0.94,0.14,0.45,0.29,0.46,165,192,274,356,480,133,Online,4.9,1.98,0.34
158,Bodycare,BrandC,Summer,Foot Scrub,40.02,39.06,1.55,0.13,0.43,0.11,0.5,133,145,182,201,260,104,In-Store,4.9,1.9,0.29
159,Makeup,BrandD,Rainy,Concealer,63.82,64.42,0.86,0.33,0.47,0.23,0.41,146,162,165,167,178,92,Social Media,3.4,3.81,0.36
160,Skincare,BrandE,Rainy,Face Toner,47.83,50.47,0.75,0.33,0.28,0.17,0.44,104,117,114,122,122,118,Online,3.4,3.92,0.31
161,Skincare,BrandE,Summer,Peeling Gel,30.06,30.78,1.85,0.3,0.39,0.23,0.47,124,150,207,243,375,179,Online,4.6,1.82,0.35
162,Skincare,BrandE,Spring,Facial Cleanser,38.37,39.28,0.88,0.2,0.34,0.16,0.5,153,152,158,155,176,109,Social Media,3.1,2.48,0.3
163,Skincare,BrandC,Spring,Peeling Gel,87.14,86.74,1.1,0.13,0.24,0.25,0.32,134,132,145,144,161,52,Social Media,4.5,2.5,0.24
164,Makeup,BrandB,Rainy,Concealer,95.38,94.79,1.05,0.18,0.25,0.26,0.35,58,63,60,59,59,127,Social Media,2.7,5.3,0.26
165,Skincare,BrandA,Summer,Face Toner,82.71,82.77,1.9,0.26,0.37,0.24,0.31,382,486,701,838,1007,139,Social Media,4.7,1.98,0.3
166,Makeup,BrandB,Spring,Lip Liner,80.89,80.31,1.91,0.31,0.47,0.14,0.39,342,451,683,740,1040,149,Social Media,4.9,1.33,0.33
167,Makeup,BrandF,Winter,Blush,15.4,15.23,1.97,0.3,0.25,0.13,0.36,140,183,234,256,314,194,In-Store,4.7,1.82,0.26
168,Makeup,BrandE,Rainy,Concealer,51.88,54.86,1.05,0.38,0.37,0.23,0.48,142,157,183,197,189,160,Social Media,4.5,1.87,0.36
169,Skincare,BrandF,Summer,Vitamin C Serum,50.17,49.95,1.86,0.19,0.35,0.21,0.48,236,280,377,418,600,107,Social Media,5,1.19,0.31
170,Skincare,BrandD,Rainy,Facial Cleanser,60.98,62.31,0.86,0.38,0.24,0.3,0.37,144,162,181,177,190,111,Online,4.6,1.12,0.32
